title,url,date,header,arrangor,medvirkende,om_arrangementet
Pilegrimsvandring på grønn resept?,https://www.arendalsuka.no/programsok/details/23456,2024-08-13T15:00,PILEGRIMSVANDRING PÅ GRØNN RESEPT?,Nasjonalt pilegrimssenter,"Tove Gundersen, generalsekretær, Rådet for psykisk helse
Alexander Medin, leder, Back in The Ring
Åge Skinstad, VM-sjef, Ski-VM Trondheim 2025
Hans Morten Løvrød, avdelingsdirektør, Nasjonalt pilegrimssenter
Kristine Meek, samtaleleder, Sannum & Bergestuen","Stillesitting og mangel på fysisk aktivitet er et stort og økende folkehelseproblem, og sykefraværet som følge av psykiske lidelser vokser. Tross økt bevissthet og at folkehelse er mer på dagsorden enn noensinne, ser ikke tendensen ut til å snu.
Den gode nyheten er at det finnes en medisin. Naturopplevelser og fysisk aktivitet har påvist positiv effekt på både fysisk og psykisk helse. Vi vet at mange - etter rundt en times gåtur i naturen - får redusert aktiviteten i de områdene av hjernen som aktiveres ved stresshåndtering.
Det fins 2000 kilometer med merkede pilegrimsruter i Norge, mange av dem i lavlandet og nært der folk bor. Både kortere og lengre vandringer har en forebyggende effekt. Kombinasjonen av de fysiske, mentale, historiske og sosiale elementene ved pilegrimsvandring, gjør det til et unikt folkehelsetiltak, som forskningen også viser at kan ha stor effekt på den psykiske helsen.
Bør vandring på Pilegrimsleden bli et nytt folkehelsetiltak - på grønn resept?"
Barnets beste - hvordan bygge et helsetilbud til barn med sjeldne diagnoser?,https://www.arendalsuka.no/programsok/details/23188,2024-08-13T15:15,BARNETS BESTE - HVORDAN BYGGE ET HELSETILBUD TIL BARN MED SJELDNE DIAGNOSER?,Nasjonal kompetansetjeneste for sjeldne diagnoser i samarbeid med Partnerskapet for sjeldne sykdommer,"Bjørn Atle Bjørnbeth, Administrerende direktør, Oslo universitetssykehus
Ellen Rønning-Arnesen, Statssekretær, Helse- og omsorgsdepartementet
Olve Moldestad, Avdelingsleder, Nyfødtscreeningen
Inger-Margrethe S. Paulsen, Styreleder, Funksjonshemmedes fellesorganisasjon (FFO)
Anne Bee Hegge, Country Medical Director, Roche Norge
Stein Are Aksnes, Leder, Nasjonal kompetansetjeneste for sjeldne diagnoser (NKSD)","Barn med sjeldne diagnoser og deres pårørende står overfor unike utfordringer i møte med helsevesenet. Nye gjennombrudd innen persontilpasset medisin, nyfødtscreening og innovativ behandling gir håp og muligheter som tidligere var utenkelig. Likevel gjenstår betydelige utfordringer i form av prioriteringer, tilgang til ny behandling, organisering av tjenester og praktisk gjennomførbarhet. 
Hvordan kan vi best utnytte medisinske fremskritt slik at de kommer pasientene til gode? 
Hva skal til for at lovende forskning omsettes til reell forbedring i hverdagen og fremtidsutsiktene for barn som lever med sjeldne diagnoser?   
Hvordan sikrer vi at prinsippet om ""barnets beste"" veier tyngst gjennom hele løpet fra regulatoriske prosesser til klinisk praksis?  
Skal du ikke til Arendalsuka? Følg strømmesendingen her
Dette er noen av de sentrale spørsmålene vi skal innom under årets arrangement. Gjennom perspektiver fra helsepolitikere, klinikere, brukerrepresentanter og medisinske fageksperter vil vi forsøke å belyse både lyspunkter og utfordringer på feltet. Slik håper vi å stimulere til konstruktiv debatt og konkrete forslag som kan bringe oss nærmere målet: At alle barn med sjeldne diagnoser får tilgang til den beste tilgjengelige behandlingen og oppfølgingen gjennom hele pasientforløpet 
Debatten markerer også startskuddet for det nystartede privat-offentlige samarbeidet ""Partnerskapet for sjeldne sykdommer"". Gjennom denne alliansen vil aktører fra hele spekteret av interessenter jobbe sammen for å adressere komplekse problemstillinger og finne innovative løsninger til beste for pasienter med sjeldne diagnoser. 
Møtet arrangeres av Nasjonal kompetansetjeneste for sjeldne diagnoser (NKSD) i samarbeid med Partnerskapet for sjeldne sykdommer.  
Vi ser frem til en engasjerende og innsiktsfull diskusjon om et viktig tema som angår mange.
Velkommen!"
Hva gjør techgigantene med nettovergrep?,https://www.arendalsuka.no/programsok/details/23287,2024-08-13T15:30,HVA GJØR TECHGIGANTENE MED NETTOVERGREP?,"NKVTS, Barnevakten, Stine Sofie Stiftelse","Per Moum Hellevik, Forsker, NKVTS
Leif Gunnar Vestbøstad Vik, Daglig leder, Barnevakten
Inga Marte Thorkildsen, Ordstyrer, Stine Sofie Stiftelse
Kjartan Sverdrup, Public policy manager, TikTok
Kari Nessa Nordtun, Kunnskapsminister, Regjeringen
Kjell Ingolf Ropstad, Stortingsrepresentant, Krf
Sondre Ronander, Communication manager, Google
Mari Velsand, Direktør, Medietilsynet
Eli Blakstad, Statssekretær, Barne- og familiedepartementet",Stadig flere barn og unge eksponeres for seksualisert innhold og utsettes for nettovergrep. Er det Tech-aktørene som må ta hovedansvaret? Og hvilket ansvar kan de ta? Må myndighetene gripe sterkere inn og innføre strengere reguleringer som også begrenser barn og unges ytringsfrihet? Hvor mye kan løses med å trene barn og unge enda mer på digital dømmekraft framover og intensivere etterforskningen fra politiet?
Glede av å lede,https://www.arendalsuka.no/programsok/details/23717,2024-08-13T15:30,GLEDE AV Å LEDE,Norsk Sykepleierforbund (NSF),"Kai Øivind Brenden, Nestleder, Norsk Sykepleierforbund
Truls Vasvik, Stortingsrepresentant, Arbeiderpartiet
Cecilia Frølandshagen, Kompani Lauritsen
Ine Myren, Leder, Sentralt fagforum (NSF)
Tor Engvik, Leder, Faggruppe for sykepleiere i geriatri og demens
Kristin Holanger, Jordmorforbundet NSF
Jan Erik Nilsen, Norsk Sykepleierforbunds Landsgruppe av Sykepleieledere
Ida Spjelkavik, Ass.komsjef / debattleder, Norsk Sykepleierforbund","Tema
Det er viktig å motivere ledere. Det må være gode rammevilkår også for førstelinjeledere. Ledere på alle nivå må få tid og rom til kompetanse- og fagligutvikling. Sykepleierledere må få mulighet til å bruke både ledelsesfaget og sykepleierfaget i sitt daglige virker. 
• Ordstyrer, Ida Spjelkavik, ass.komsjef, Norsk Sykepleierforbund
Program
Innledning om ledelse med Cecilia Frølandshagen fra Kompani Lauritzen
NSFs nye medlemsundersøkelse med Ine Myren, Sentralt Fagforum
Panelsamtale:
Tor Engvik (leder for sykepleiere i geriatri og demens, og avdelingsleder sykehjem),
Kristin Holanger (forbundsstyret, og avdelingsleder for helsesykepleier og jordmortjenesten i Grimstad kommune)
Jan Erik Nilsen (leder for Sykepleierlederne og Akuttklinikken OuS) 
Kommentarer fra helsepolitisk talsperson i Arbeiderpartiet Truls Vasvik og Kai Øivind Brenden (nestleder, Norsk Sykepleierforbund)."
Hva vil ungdomspartiene i helsepolitikken?,https://www.arendalsuka.no/programsok/details/23102,2024-08-13T15:30,HVA VIL UNGDOMSPARTIENE I HELSEPOLITIKKEN?,Sanofi,"Veslemøy Østrem, Sjefsredaktør, Altinget
Simen Velle, Leder, FpU
Maria Munkhaug, Sentralstyremedlem, Unge Høyre
Sandra Tenud, Sentralstyremedlem, AUF
Linnea Sandsberg, 2. nestleder, Sosialistisk Ungdom
Nils Forren, Nestleder, Senterundgommen
Hans Jacob Huun Thomsen, Nestleder, Unge Venstre
Hadle Rasmus Bjuland, Leder, KrFU
Solveig Martha Tynkkynen, Grønn Ungdom","Helse er en av de viktigste sakene for velgerne. Men hva vil ungdomspartiene i helsepolitikken? Hva mener de at det blir viktig å ta tak i framover, og hvilke løsninger har de?
Under Arendalsuka inviterer Sanofi til helsepolitisk ungdomslederdebatt, med Altingets sjefredaktør Veslemøy Østrem som debattleder.
  Det er adgangskontroll på Arendal kultur- og rådhus, og det må beregnes noe ekstra tid for å komme inn. Merk at det er ikke tillatt å ta med flasker, paraplyer og liknende gjenstander inn i bygningen."
Trenger Norge en Fellesskapsminister?,https://www.arendalsuka.no/programsok/details/24148,2024-08-13T16:00,TRENGER NORGE EN FELLESSKAPSMINISTER?,"KOK, Venn, Pulskuren","Jonna Støme, Moderator - Artist
Astrid Hoem, Paneldeltaker - Leder AUF, AUF
Leo Ajkic, Paneldeltaker - Programleder
Kristin Lorange, Paneldeltaker - Daglig Leder, KOK
Torkil Færø, Paneldeltaker - Lege og fotograf, Pulskuren.no
Jesper Algaard, Paneldeltaker - Daglig leder, Venn","Ifølge Folkehelserapporten har det de siste tiårene blant unge voksne vært en økning i andelen som rapporterer om psykiske lidelser. Rapporten viser at mellom én av seks og én av fire vil oppfylle kriteriene for en psykisk lidelse i løpet av et år.
  Samtidig viser The Harvard Study of Adult Development, den lengstrekkende studien på menneskelig lykke, at faktoren som i størst grad påvirker muligheten for et godt liv er fellesskap og nære relasjoner.
Initiativtakerne KOK, lege Torkil Færø fra pulskuren.no og Venn jobber alle for å øke folks livskvalitet, og bidrar med gode arenaer for fellesskap. Nå vil vi utfordre stortingspolitikerne til å si noe om hva slags ansvar de mener myndighetene burde ta for å unngå at deler av befolkningen opplever ensomhet og utenforskap. 
  Hvordan kan vi som samfunn bidra, og hva kan politikere gjøre for å sørge for at folk ikke faller utenfor, opplever ensomhet og får redusert livskvalitet? 
Er det politikernes ansvar å forebygge utenforskap og ensomhet i Norge, eller skal det være opp til den enkelte? 
Badstuer er inkluderende arenaer for å oppleve fellesskap og tilhørighet. Å tilrettelegge for trygge sosiale arenaer kan være en god måte å skape varige relasjoner og å redusere utenforskap. Hvilke andre tilsvarende arenaer finnes? Bør det offentlige i større grad tilrettelegge for dette?
I Finland skrives badstue og isbading ut på resept mot depresjon. Finnene troner øverst på rangeringen World Happiness Index for 7. år på rad, og hemmeligheten er visstnok bla sauna. Kan fellesskap og badstue skrives ut på resept for unge som sliter med utenforskap og psykiske plager?
  Debatt - Vi inviterer sentrale stemmer til å komme nærmere en løsning for å forhindre at folk ufrivillig faller ut av fellesskapet
Målsetningen for arrangementet er å være det hyggeligste og viktigste arrangementet på Arendalsuka i år.

For om fellesskap og nære relasjoner er den viktigste faktoren for et godt og langt liv, burde ikke dette være øverst på den politiske agenda?"
Er kinesiske nettbutikker en trussel mot seriøse norske aktører?,https://www.arendalsuka.no/programsok/details/23977,2024-08-13T16:00,ER KINESISKE NETTBUTIKKER EN TRUSSEL MOT SERIØSE NORSKE AKTØRER?,"SMB Norge, Forum for netthandel","Frode Jacobsen, stortingsrepresentant, Arbeiderpartiet (Ap)
Lars Berge, fylkespolitiker og næringsdrivende, Akershus Høyre
Margit Martinsen, nestleder, Oslo MDG
Per Skøien, CEO, Kin Group
Inger Lise Blyverket, direktør, Forbrukerrådet
Vebjørn Søndersrød, partner, Advokatfirmaet Føyen","Nordmenns netthandel har de siste årene økt kraftig og flere norske nettbutikker har sett dagens lys.
I kulissene lusker imidlertid store kinesiske nettgiganter som Temu og Shein, hvor flere og flere nordmenn lokkes til å kjøpe ekstremt billige varer.
Forretningsmodellen til de to kinesiske gigantene bygger på produktkopiering, ulovlig markedsføring og ekstremt billig flyfrakt, med et betydelig klimaavtrykk.
Utviklingen skaper store problemer for norske nettbutikker som selger ekte produkter til «ekte» priser og som ser kunder rømme til de to nettgigantene og billige piratkopier:
Er dette en uunngåelig utvikling?
Hvilket ansvar norske politikere har for å håndtere og regulere denne utviklingen?
Hvilke konsekvenser vil dette få for norsks næringsliv og norske nettbutikker?
Føres norske forbrukere bak lyset, når de kjøper billige produktkopier av dårlig kvalitet?
Hvordan kan vi løse dette til forbrukerens beste?
Hvordan vil norske netthandel se ut i fremtiden?
SMB Norge og Forum for e-handel tar debatten."
Er Helseteknologiordningen tilstrekkelig til å løfte kommunene?,https://www.arendalsuka.no/programsok/details/24007,2024-08-13T16:00,ER HELSETEKNOLOGIORDNINGEN TILSTREKKELIG TIL Å LØFTE KOMMUNENE?,EHIN AS,"Camilla Dunsæd, TBA, Kristiansand kommune
Johan Ronæs, Administrerende Direktør, Norsk helsenett
Kristin Weidemann Wieland, Områdedirektør FID, KS
Mariann Hornnes, Assisterende helsedirektør, Helsedirektoratet
Karita Bekkemellem, NHO Geneo, AP
Moderator: Terje Wistner, Avdelingsdirektør e-helse, KS","(I samarbeid med KS)
Helse- og samhandlingsplanen lanserer Helseteknologiordningen som virkemiddel: 
– Er det tilstrekkelig til å skape felles kraft i kommunal sektor?
– Hva mangler og hvordan må ordningen utvikle seg?"
Desentralisert utdanning – flere sykepleiere!,https://www.arendalsuka.no/programsok/details/23669,2024-08-13T16:00,DESENTRALISERT UTDANNING – FLERE SYKEPLEIERE!,"KS, Høgskolen i Innlandet","Kari-Anne Jønne, stortingsrepresentant (H), Utdannings- og forskningskomiteen
Anja Ninasdotter Abusland, stortingsrepresentant (Sp), Utdannings- og forskningskomiteen
Martin Sæbu, Kommunedirektør, Nord-Aurdal kommune
Merete Myhre Moen, fylkesstyreleder, KS Innlandet
Stine Grønvold, Prorektor utdanning, Høgskolen i Innlandet
Grethe Bøgh Næss, prosjektleder, Fakultet for sykepleie og helsevitenskap, Universitetet i Nord
Marit Roxrud Leinhardt, avdelingsdirektør arbeidsliv, KS
Jan Inge Krossli, Debattleder, KS","For å kunne sikre helsetjenester i framtida må vi finne nye måter å sikre oss nødvendig kompetanse på. Distriktskommunene sliter med å rekruttere og beholde riktig kompetanse. Desentralisert utdanning blir derfor stadig viktigere, men fungerer det? Etter litt blandede erfaringer, har Høgskolen i Innlandet utviklet en ny modell i tett samarbeid med alle kommuner i regionen. Nøkkelen er å investere i de folka de har i jobb. Jobbvinner og Nord universitet samarbeider om et prosjekt der sykepleierstudenter har praksis i kommunale helsetjenester, som har gitt gode resultater så langt for rekrutteringen videre."
"En bedre psykisk helse - Brukere, pårørende og profesjoner sammen!",https://www.arendalsuka.no/programsok/details/24297,2024-08-13T16:00,"EN BEDRE PSYKISK HELSE - BRUKERE, PÅRØRENDE OG PROFESJONER SAMMEN!","NSFs faggruppe innen psykisk helse og rus (SPoR), Mental Helse, Landsforeningen for Pårørende og Etterlatte innen Psykisk helse og ROP-lidelser (LPP), Norsk psykologforening, Norsk Psykiatrisk forening (Npf)","Espen Gade Rolland, Leder, NSFs faggruppe innen psykisk helse og rus (SPoR)
Ole-Marius Minde Johnsen, Landsleder, Mental Helse
Anna Cecilie Jentoft, Landsstyreleder, Landsforeningen for Pårørende og Etterlatte innen Psykisk helse og ROP-lidelser (LPP)
Lars Lien, Leder, Norsk Psykiatrisk forening (Npf)
Håkon Kongsrud Skard, President, Norsk psykologforening
Kristin Bergersen, Kommunikasjonssjef, Mental Helse","Vi inviterer brukere, pårørende og profesjoner til debatt for en bedre psykisk helse. 
Innen psykisk helse er det ulike meninger om hva som bør prioriteres for å forbedre tjenestene.
Dette er første gangen fem organisasjoner går sammen og har funnet fellesnevnere som vi vil presentere på Arendalsuka.
Vi vil også debattere og utforske ulikhetene! 
  Bakgrunnen for arrangementet er at organisasjonene har gått sammen og utarbeidet en felleserklæring for bedre psykisk helse, dette er første gangen brukere, pårørende og fag går sammen i et slikt samarbeid. Erklæringen er utarbeidet av Landsforeningen for Pårørende og Etterlatte innen Psykisk helse og ROP-lidelser (LPP), Norsk psykologforening, NSFs faggruppe innen psykisk helse og rus (SPoR), Norsk Psykiatrisk forening (Npf) og Mental Helse.
  Debattleder er Kristin Bergersen, kommunikasjonssjef i Mental Helse"
Hvorfor har vi legemiddelmangel i Norge ? Spørsmål og svar på 60 min.,https://www.arendalsuka.no/programsok/details/25520,2024-08-13T16:00,HVORFOR HAR VI LEGEMIDDELMANGEL I NORGE ? SPØRSMÅL OG SVAR PÅ 60 MIN.,"Sørlandet Sykehus, Arendal","Hermund Alne, Leder, Sykehusapotekene Sørlandet
Tom Helge Vik Tollefsen, Beredskapssjef, Sørlandet sykehus
Nils Kristian Klev, Visepresident, Den norske legeforening
Mette Kalager, Professor, Universitetet i Oslo
Karl Kristian Bekeng, Statssekretær, Arbeiderpartiet
Jeanne Mette Goderstad, Møteleder, Sørlandet sykehus","Mange pasienter får ikke de medisinene de har bruk for.
Hvorfor er det tomt i hyllene på apoteket ? 

Hvem er det som ikke kan levere varene? 
Har vi i Norge et beredskapslager? 
Hvordan kan vi som bruker medisiner bidra til at det er nok til alle?"
Flere pasienter i Norge må få tilgang til utprøvende behandling - Flaskehalser og muligheter,https://www.arendalsuka.no/programsok/details/23745,2024-08-13T16:00,FLERE PASIENTER I NORGE MÅ FÅ TILGANG TIL UTPRØVENDE BEHANDLING - FLASKEHALSER OG MULIGHETER,"NorCRIN, NorTrials, NorPedMed",,"NorCRIN, NorTrials og NorPedMed arbeider for flere og bedre kliniske studier. Vi møter representanter fra forskere, pasienter/brukere, helsemyndigheter og legemiddelindustri til samtale for å diskutere flaskehalser og muligeter.
NorCRIN (Norwegian Clinical Research Infrastructure Network) er et nasjonalt forskningsstøttenettverk bestående av landets seks universitetssykehus som tilrettelegger for klinisk forskning. NorTrials representerer et samarbeid mellom de fire helseregionene og industri, og tilbyr én vei inn til kliniske studier for bedrifter og andre aktører som vil gjennomføre slike studier i Norge. NorPedMed er et klinisk forskningsnettverk med base i Nasjonalt kompetansenettverk for legemidler til barn som arbeider for at legemiddelbehandling til barn skal være hensiktsmessig og trygg, og i størst mulig grad basert på forskning.
Program
15:00 - 16:00    Mat og mingling utenfor Plenumssalen, Thon Hotel
16:00 - 16:25    Velkommen og introduksjon
Mer kvantitet og kvalitet i kliniske studier   -  Nina Jebsen, Prosjektleder NorCRIN
Oppdrag, utfordringer og fokusområder  -  Signe Øien Fretland, Leder NorTrials koordinerende enhet, OUS
""Skal det forskes på mitt barn?"" Om barnas særstilling i legemiddelstudier   Thomas Halvorsen, Leder NorPedMed, barnelege og professor UiB
Brukerorganisasjonsperspektiv på Nasjonal handlingsplan for kliniske studier  -  Ole Alexander Opdalshei, Avdelingssjef Forskningsavdelingen og assisterende generalsekretær i Kreftforeningen
  16:30 - 17:30     Panelsamtale:  Forskerens, pasientens og andre brukeres hverdag i kliniske studier
Ordstyrer: Kristin Bjordal - Leder Forskningsstøtte i Oslo Universitetssykehus og Regional forskningsstøtte i Helse Sør-Øst, Professor II ved Universitetet i Oslo
Paneldeltagere:
Hege Mathilde Kornberg Christensen, Brukerrepresentant Regionalt brukerutvalg Helse-Vest og brukerrepresentant i NorCRIN-styret
Camilla Tøndel,  Forsker, Professor ved UiB og leder Klinisk forskningspost for barn, Haukeland universitetssjukehus
Henrietta Blankson, Spesialrådgiver Norges Forskningsråd
Eivind Hansen, Administrerende direktør, Haukeland Universitetssjukehus
Svein Skeie, Styreleder i NorCRIN, Forskningsdiretør Stavanger universitetssykehus
Terje Roothwelt, Styreleder i NorTrials, Direktør Helse Sør-Øst RHF
Geir Bråthen, Klinikksjef Nevroklinikken St.Olavs Hospital
Nicolas Vaugelade-Baust, Styremedlem NorTrials og Legemiddelindustriforeningen, (LMI), Direktør nordisk utprøving Novartis"
Vil myndighetene egentlig at vi skal spise mer sjømat?,https://www.arendalsuka.no/programsok/details/23052,2024-08-13T16:00,VIL MYNDIGHETENE EGENTLIG AT VI SKAL SPISE MER SJØMAT?,"Pelagisk Forening, Norges Sjømatråd, Norges Fiskarlag, Fiskebåt, Sjømat Norge, Norges Sildesalgslag, Norges Råfisklag, Norsk Villfisk, FHF",,"Nye kostholdsråd er like om hjørnet. Hva vil sjømaten sin rolle være i disse? Vi vet sjømat er klimavennlig og sunn mat, så da spør vi:
– Hvorfor spiser nordmenn stadig mindre sjømat? 
– Hvorfor er sjømat mindre spennende på middagsbordet her i landet?
– Hva kan myndighetene gjøre for å få folk til å spise mer sjømat?
– Hva kan sjømatnæringen gjøre?
PROGRAM 
16.30 Velkommen og praktiske opplysninger om rømningsveier, tematikk og matservering v/ moderator Carina Olset
16.35 Hvordan står det til med sjømatkonsumet i Norge v/ administrerende direktør i Norges sjømatråd, Christian Chramer
16.40 Familie skiftet til et blått kosthold. Slik gikk det med dem v/ Bente og Stig Haug + lokal visning av NRK-innslag
16.55 Sjømatens plass i de nye kostholdsrådene v/ Linda Granlund, divisjonsdirektør folkehelse og forebygging, Helsedirektoratet
17.05 Dette sier forskningen om å spise mat fra havet v/ Synnøve Næss Sleire, postdoktor, Havforskningsinstituttet
17.15 Hva gjør politikerne for å løfte sjømatkonsumet i Norge v/Even Tronstad Sagbakken, statssekretær, Nærings- og fiskeridepartementet
17.30-19.30 Servering av sjømat og mingling
  Velkommen til en spennende debatt!"
Seksuell vold i unges nære relasjoner,https://www.arendalsuka.no/programsok/details/23898,2024-08-13T16:30,SEKSUELL VOLD I UNGES NÆRE RELASJONER,"NKVTS, Sex og samfunn","Tone Foss Aspevoll, Ordstyrer, Agenda rådgiving
Carolina, Øverlien, Forsker I
Inga Marte Thorkildsen, Politisk rådgiver, Stine Sofie Stiftelse
Morten Skauen Sørmo, sentralstyremedlem, Utdanningsforbundet
Inger Sønderland, daglig leder, Sex & Samfunn
Frode Svendsen, fengselsbetjent, Søndre Vestfold Fengsel
Elise Waagen, Utdannings- og forskningskomiteen, Stortinget
Anja Emilie Kruse, Forsker, NKVTS
Hannah Helseth, Forsker, NKVTS
Catharina Borchgrevinck, Seniorrådgiver, Sekretariatet for Konfliktrådene","Seksuell vold i unges nære relasjoner – utsatte, utøver og institusjonelle rammer
Hvordan tenker ungdom og unge voksne om seksuelle krenkelser, seksuell vold og voldtekt? Hvor og hvordan trekker de grensene mellom bra sex, dårlig sex og voldtekt? Hva er forskjeller og likheter mellom unges forståelser og hvordan skolen og rettsvesenet tenker?
Dette er hovedspørsmålene i en helt ny, norsk studie som baserer seg på intervjuer med unge utsatte for seksuell vold i nære relasjoner, unge som har utøvd volden, og andre unge med eller uten disse erfaringene.
Ett funn er at selv om alle er enige i voldtekt er galt, finnes det ikke en tydelig enighet om hvem som får bestemme hva en voldtekt er, og hvor grensen går mellom bra sex, dårlig sex og voldtekt. Uklarhetene får betydning for håndteringen og forebyggingsarbeidet av seksuell vold og -krenkelser blant ungdom.
Vi trenger en åpen og ærlig samtale om hva som kan være utfordrende når ulike sektorer skal samarbeide for å forebygge og håndtere seksuelle krenkelser- og vold."
Rehabilitering etter hjerneslag,https://www.arendalsuka.no/programsok/details/24904,2024-08-13T16:30,REHABILITERING ETTER HJERNESLAG,Norges Blindeforbund,"Sverre Fuglerud, Seksjonsleder, Norges Blindeforbund
Arild Hagen, Nestleder i interessepolitisk utvalg, Norges Blindeforbund","Det er fortsatt mange som ikke får den synsrehabiliteringen de trenger etter hjerneslag. Vi tar debatten om hva som må til for å sikre rehabilitering og en mulighet til å fortsette å være hovedpersonen i eget liv.
Debattanter:
Tone Wilhelmsen Trøen, stortingsrepresentant for Høyre og leder av helse- og omsorgskomiteen
Tove Elise Madland, stortingsrepresentant for Arbeiderpartiet og medlem av helse- og omsorgskomiteen
Terje Andre Olsen, forbundsleder i Norges Blindeforbund"
Kan aktivitet som medisin bli resepten vi trenger på et sunnere Norge?,https://www.arendalsuka.no/programsok/details/22921,2024-08-13T16:30,KAN AKTIVITET SOM MEDISIN BLI RESEPTEN VI TRENGER PÅ ET SUNNERE NORGE?,Aktivitetsalliansen,"Erlend Svardal Bøe (H), Helse- og omsorgskomiteen på Stortinget, Høyre
Even A. Røed (AP), Helse- og omsorgskomiteen på Stortinget, Arbeiderpartiet
Ole Petter Hjelle, lege og hjerneforsker
Lis Pedersen Strøm, høyskolelektor Norges idrettshøgskole og fagkoordinator i Aktivitetsalliansen
Anne-Karin Rime, President, Den norske legeforening
Yngvar Andersen, Personlig trener og TV-personlighet, Naardic
Stian Lobben, lege og styremedlem, Exercise is Medicine Norge
Anders Hall Grøterud, daglig leder og cand scient i idrettspsykologi, Aktivitetsalliansen
Lars Erik Mørk, debattleder, kommunikasjonsjef, Gjensidigestiftelsen","Stortinget vedtok i 2023 øke bruken av livsstilsendringer på (grønn) resept. Fysisk aktivitet fremheves som spesielt viktig, fordi denne medisinen har nesten alle helseeffektene man kunne ha ønsket seg i en pille. Hvorfor er det likevel så vanskelig for pasienter, leger og politikere å svelge denne pillen?
  Vi tar debatten og går rett på mytene og elefantene i rommet: Skal vi la folk sitte seg til døde? Eller skal legene foreskrive trening på skattebetalernes regning? Er aktivitet som medisin et forebyggende eller behandlende virkemiddel? Vil fysisk aktivitet på resept nå de ressurssterke og ikke dem som trenger det mest? Eller er det redningen for et stadig mer overbelastet helsevesen og resepten på et sunnere Norge?
  Aktivitetsalliansen inviterer fagpersoner og politikere til debatt om å finne de konkrete løsningene på grønn resept, aktivitet som medisin og om hva som gjør at fortsatt bare 30% av den voksne befolkningen er fysisk aktive nok i forhold til anbefalingene.
Det vil bli gjennomført to paneler med ulike og overlappende deltakere med faglige og politiske vinklinger. Oversikten av medvirkende vil  bli oppdatert etterhvert som arrangementet nærmer seg."
Trenger jeg baller for å få rett helsehjelp?,https://www.arendalsuka.no/programsok/details/22899,2024-08-13T16:30,TRENGER JEG BALLER FOR Å FÅ RETT HELSEHJELP?,Norske Kvinners Sanitetsforening,"Bjørn Erik Thon, Likestillings- og diskrimineringsombud
Kamzy Gunaratnam, Helse- og omsorgskomiteen,, Ap
Sandra Bruflot, Helse- og omsorgskomiteen, Høyre
Ståle Sagabråthen, Fastlege, medlem av Kvinnehelseutvalget
Malin Stensønes, Generalsekretær, Norske Kvinners Sanitetsforening
Elisabeth T. Swärd, Spesialrådgiver kvinnehelse, Norske Kvinners Sanitetsforening
Liv Bjørnhaug Johansen, Seniorrådgiver kvinnehelse, Norske Kvinners Sanitetsforening","Kvinnehelseutvalget slo ettertrykkelig fast at kjønnsnøytralitet i helsetjenestene står i veien for likeverdige helsetjenester. Kvinners hjertesykdom blir ikke gjenkjent og kvinner kommer for sent i behandling. Kvinner får mer bivirkninger av medisiner fordi dosene ikke er tilpasset dem. Kvinner er mer utsatt for komplikasjoner og bivirkninger av behandling, men helsedirektoratet gir anbefalinger uavhengig av kjønn. Vi samler beslutningstakerne på helsefeltet til den debatt om hvordan vi kommer oss fra et kjønnsnøytralt til en likeverdig helsetjeneste.
  PROGRAM:
Elisabeth Swärd, spesialrådgiver kvinnehelse N.K.S.: Vi har oversett den store forskjellen – kjønnsnøytralitet står i veien for likeverdige helsetjenester.
Liv Bjørnhaug Johansen, seniorrådgiver kvinnehelse N.K.S.: «Denne behandlingen er ikke testet på kvinner…». Om konsekvensene av kjønnsblindhet i helsetjenestene.
Bjørn Erik Thon, likestillings- og diskrimineringsombud: Kvinnehelse som likestillingsproblem.
Paneldebatt, ledet av Malin Stensønes: Hvordan får vi kjønnsperspektivet inn i helsetjenesten? Medvirkende: Kamzy Gunaratnam, Sandra Bruflot, Bjørn Erik Thon og Ståle Sagabråthen."
En skamløs time om kvinnehelse,https://www.arendalsuka.no/programsok/details/22947,2024-08-13T16:30,EN SKAMLØS TIME OM KVINNEHELSE,Sykehuset Østfold,"Ingvild Hallberg, Gynekolog, Sykehuset Østfold
Ragnhild Nødtveidt, sexolog og høgskolelektor, Høgskolen i Østfold","Er overgangsalderen overgangen til undergangen? Regjeringens kvinnehelseutvalg slår fast at kvinnehelse lenge har vært nedprioritert. Og mange tilstander som rammer kvinner spesielt, er forbundet med skam og tabu. Kvinneklinikken i Sykehuset Østfold inviterer til en skamløs time om kvinnehelse med overlege Ingvild Hallberg og sexolog Ragnhild Nødtveidt.
Dr. Hallbergs medisin mot skam er kunnskap og humor. Under foredraget vil hun skrive ut rause resepter på begge deler. Her vil du få kunnskap om hva som skjer med kropp og sinn, og hvordan hormonbehandling og andre behandlingsformer kan hjelpe.
Med seg har hun sexolog Ragnhild Nødtveit til å svare på spørsmål om hvordan ha en god overgangsalder med livsglede og fortrolighet med egen kropp og alder.
Ingvild Hallberg er gynekolog og spesialist i fødselshjelp. Hun jobber som overlege på Kvinneklinikken ved Sykehuset i Østfold avd. Kalnes. Hun har tidligere jobbet på overgrepsmottaket i Østfold og har i tillegg privat praksis.
Ragnhild Nødtveidt er utdannet sykepleier med ulike spesialiseringer. Hun er blant annet sexolog, familieterapeut, foredragsholder og høgskolelektor ved Høgskolen i Østfold."
